source_unit_uid,source_kind,source_release,source_text,context_code,context_label,weight_axis,weight_value,weight_unit,weight_status,reference_period
atus-activity:2021-2025:010101,everyday_activity,ATUS 2021-2025 pooled annual average,Sleeping,01,Personal Care Activities,everyday_life_annual_population_hours,886837892291.584,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:010102,everyday_activity,ATUS 2021-2025 pooled annual average,Sleeplessness,01,Personal Care Activities,everyday_life_annual_population_hours,6863409571.02685,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:010199,everyday_activity,ATUS 2021-2025 pooled annual average,"Sleeping, n.e.c.*",01,Personal Care Activities,everyday_life_annual_population_hours,464522.42129555,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:010201,everyday_activity,ATUS 2021-2025 pooled annual average,"Washing, dressing and grooming oneself",01,Personal Care Activities,everyday_life_annual_population_hours,66647002721.2358,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:010299,everyday_activity,ATUS 2021-2025 pooled annual average,"Grooming, n.e.c.*",01,Personal Care Activities,everyday_life_annual_population_hours,47799672.8069456,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:010301,everyday_activity,ATUS 2021-2025 pooled annual average,Health-related self care,01,Personal Care Activities,everyday_life_annual_population_hours,6913457555.72328,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:010399,everyday_activity,ATUS 2021-2025 pooled annual average,"Self care, n.e.c.*",01,Personal Care Activities,everyday_life_annual_population_hours,111396702.21951,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:010401,everyday_activity,ATUS 2021-2025 pooled annual average,Personal/Private activities,01,Personal Care Activities,everyday_life_annual_population_hours,367050201.990319,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:010499,everyday_activity,ATUS 2021-2025 pooled annual average,"Personal activities, n.e.c.*",01,Personal Care Activities,everyday_life_annual_population_hours,61950815.9332982,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:010501,everyday_activity,ATUS 2021-2025 pooled annual average,Personal emergencies,01,Personal Care Activities,everyday_life_annual_population_hours,1489125.08541267,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:010599,everyday_activity,ATUS 2021-2025 pooled annual average,"Personal care emergencies, n.e.c.*",01,Personal Care Activities,everyday_life_annual_population_hours,0,person_hours_per_year_2021_2025_average,observed_zero,2021-2025 pooled annual average
atus-activity:2021-2025:019999,everyday_activity,ATUS 2021-2025 pooled annual average,"Personal Care, n.e.c.*",01,Personal Care Activities,everyday_life_annual_population_hours,2119884.77610204,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:020101,everyday_activity,ATUS 2021-2025 pooled annual average,Interior cleaning,02,Household Activities,everyday_life_annual_population_hours,35692272479.3718,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
atus-activity:2021-2025:020102,everyday_activity,ATUS 2021-2025 pooled annual average,Laundry,02,Household Activities,everyday_life_annual_population_hours,17136042159.3752,person_hours_per_year_2021_2025_average,available,2021-2025 pooled annual average
